CityName,WarehouseName,Particulars,Jun-23,Aug-23,Jul-23
"Indore","MP-ind-20","Del % ","0","0","0"
"Indore","MP-ind-20","DeliveryCost","0","0","0"
"Indore","MP-ind-20","DeliveryCost % ","0","0","0"
"Indore","MP-ind-20","CM 1 % ","0","0","0"
"Indore","MP-ind-20","Ops exp","0","0","0"
"Indore","MP-ind-20","Ops exp % ","0","0","0"
"Indore","MP-ind-20","Opsmargin % ","0","0","0"
"Indore","MP-ind-21","totalCustomer","2","2","2"
"Indore","MP-ind-21","ActiveCustomer","0","0","0"
"Indore","MP-ind-21","TotalOrder","0","0","0"
"Indore","MP-ind-21","AOV","0","0","0"
"Indore","MP-ind-21","MonthlyReliance","0","0","0"
"Indore","MP-ind-21","Sales","0","0","0"
"Indore","MP-ind-21","Delivered","0","0","0"
"Indore","MP-ind-21","Del % ","0","0","0"
"Indore","MP-ind-21","Gm % ","0","0","0"
"Indore","MP-ind-21","DeliveryCost","0","0","0"
"Indore","MP-ind-21","DeliveryCost % ","0","0","0"
"Indore","MP-ind-21","CM 1 % ","0","0","0"
"Indore","MP-ind-21","Ops exp","0","0","0"
"Indore","MP-ind-21","Ops exp % ","0","0","0"
"Indore","MP-ind-21","Opsmargin % ","0","0","0"
"Indore","MP-INDB-1","totalCustomer","29","29","29"
"Indore","MP-INDB-1","ActiveCustomer","15","4","10"
"Indore","MP-INDB-1","TotalOrder","111","6","15"
"Indore","MP-INDB-1","AOV","4577.0411027027","1425.5472","2112.46432"
"Indore","MP-INDB-1","MonthlyReliance","33870.10416","2138.3208","3168.69648"
"Indore","MP-INDB-1","Sales","508051.5624","8553.2832","31686.9648"
"Indore","MP-INDB-1","Delivered","81307.004","38906.795","48510"
"Indore","MP-INDB-1","Del % ","0.16003691360757","4.54875561702435","1.53091343100176"
"Indore","MP-INDB-1","GrossMargin","9696.56160294607","23517.8306287582","-2.91038304567337E-11"
"Indore","MP-INDB-1","Gm % ","1.46676940977008E-06","1.55362551493823E-05","-1.23676618505569E-20"
"Indore","MP-INDB-1","DeliveryCost","0","0","0"
"Indore","MP-INDB-1","DeliveryCost % ","0","0","0"
"Indore","MP-INDB-1","CM 1","9696.56160294607","23517.8306287582","-2.91038304567337E-11"
"Indore","MP-INDB-1","CM 1 % ","0.119258626267253","0.604465894164713","-5.99955276370515E-16"
"Indore","MP-INDB-1","Ops exp","0","0","0"
"Indore","MP-INDB-1","Ops exp % ","0","0","0"
"Indore","MP-INDB-1","Opsmargin","9696.56160294607","23517.8306287582","-2.91038304567337E-11"
